Subj Day Cond Talker InputFile
s11 day1 Dental T1 "stats.11MTD1_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s11 day2 Dental T1 "stats.11MTD2_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s12 day1 Dental T1 "stats.12MTD1_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s12 day2 Dental T1 "stats.12MTD2_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s13 day1 Dental T1 "stats.13MTD1_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s13 day2 Dental T1 "stats.13MTD2_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s14 day1 Dental T1 "stats.14MTD1_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s14 day2 Dental T1 "stats.14MTD2_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s15 day1 Dental T1 "stats.15MTD1_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s15 day2 Dental T1 "stats.15MTD2_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s16 day1 Dental T1 "stats.16MTD1_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s16 day2 Dental T1 "stats.16MTD2_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s17 day1 Dental T1 "stats.17MTD1_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s17 day2 Dental T1 "stats.17MTD2_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s1 day1 Retroflex T1 "stats.01MTD1_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s1 day2 Retroflex T1 "stats.01MTD2_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s2 day1 Retroflex T1 "stats.02MTD1_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s2 day2 Retroflex T1 "stats.02MTD2_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s3 day1 Retroflex T1 "stats.03MTD1_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s3 day2 Retroflex T1 "stats.03MTD2_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s4 day1 Retroflex T1 "stats.04MTD1_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s4 day2 Retroflex T1 "stats.04MTD2_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s5 day1 Retroflex T1 "stats.05MTD1_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s5 day2 Retroflex T1 "stats.05MTD2_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s6 day1 Retroflex T1 "stats.06MTD1_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s6 day2 Retroflex T1 "stats.06MTD2_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s7 day1 Retroflex T1 "stats.07MTD1_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s7 day2 Retroflex T1 "stats.07MTD2_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s8 day1 Retroflex T1 "stats.08MTD1_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s8 day2 Retroflex T1 "stats.08MTD2_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s9 day1 Retroflex T1 "stats.09MTD1_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s9 day2 Retroflex T1 "stats.09MTD2_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s10 day1 Retroflex T1 "stats.10MTD1_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s10 day2 Retroflex T1 "stats.10MTD2_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s11 day1 Retroflex T1 "stats.11MTD1_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s11 day2 Retroflex T1 "stats.11MTD2_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s12 day1 Retroflex T1 "stats.12MTD1_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s12 day2 Retroflex T1 "stats.12MTD2_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s13 day1 Retroflex T1 "stats.13MTD1_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s13 day2 Retroflex T1 "stats.13MTD2_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s14 day1 Retroflex T1 "stats.14MTD1_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s14 day2 Retroflex T1 "stats.14MTD2_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s15 day1 Retroflex T1 "stats.15MTD1_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s15 day2 Retroflex T1 "stats.15MTD2_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s16 day1 Retroflex T1 "stats.16MTD1_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s16 day2 Retroflex T1 "stats.16MTD2_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s17 day1 Retroflex T1 "stats.17MTD1_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s17 day2 Retroflex T1 "stats.17MTD2_REML+tlrc.HEAD[T1_Retroflex#0_Coef]"
s1 day1 Dental T2 "stats.01MTD1_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s1 day2 Dental T2 "stats.01MTD2_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s2 day1 Dental T2 "stats.02MTD1_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s2 day2 Dental T2 "stats.02MTD2_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s3 day1 Dental T2 "stats.03MTD1_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s3 day2 Dental T2 "stats.03MTD2_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s4 day1 Dental T2 "stats.04MTD1_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s4 day2 Dental T2 "stats.04MTD2_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s5 day1 Dental T2 "stats.05MTD1_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s5 day2 Dental T2 "stats.05MTD2_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s6 day1 Dental T2 "stats.06MTD1_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s6 day2 Dental T2 "stats.06MTD2_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s7 day1 Dental T2 "stats.07MTD1_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s7 day2 Dental T2 "stats.07MTD2_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s8 day1 Dental T2 "stats.08MTD1_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s8 day2 Dental T2 "stats.08MTD2_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s9 day1 Dental T2 "stats.09MTD1_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s9 day2 Dental T2 "stats.09MTD2_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s10 day1 Dental T2 "stats.10MTD1_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s10 day2 Dental T2 "stats.10MTD2_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s11 day1 Dental T2 "stats.11MTD1_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s11 day2 Dental T2 "stats.11MTD2_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s12 day1 Dental T2 "stats.12MTD1_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s12 day2 Dental T2 "stats.12MTD2_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s13 day1 Dental T2 "stats.13MTD1_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s13 day2 Dental T2 "stats.13MTD2_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s14 day1 Dental T2 "stats.14MTD1_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s14 day2 Dental T2 "stats.14MTD2_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s15 day1 Dental T2 "stats.15MTD1_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s15 day2 Dental T2 "stats.15MTD2_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s16 day1 Dental T2 "stats.16MTD1_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s16 day2 Dental T2 "stats.16MTD2_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s17 day1 Dental T2 "stats.17MTD1_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s17 day2 Dental T2 "stats.17MTD2_REML+tlrc.HEAD[T2_Dental#0_Coef]"
s1 day1 Retroflex T2 "stats.01MTD1_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s1 day2 Retroflex T2 "stats.01MTD2_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s2 day1 Retroflex T2 "stats.02MTD1_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s2 day2 Retroflex T2 "stats.02MTD2_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s3 day1 Retroflex T2 "stats.03MTD1_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s3 day2 Retroflex T2 "stats.03MTD2_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s4 day1 Retroflex T2 "stats.04MTD1_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s4 day2 Retroflex T2 "stats.04MTD2_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s5 day1 Retroflex T2 "stats.05MTD1_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s5 day2 Retroflex T2 "stats.05MTD2_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s6 day1 Retroflex T2 "stats.06MTD1_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s6 day2 Retroflex T2 "stats.06MTD2_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s7 day1 Retroflex T2 "stats.07MTD1_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s7 day2 Retroflex T2 "stats.07MTD2_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s8 day1 Retroflex T2 "stats.08MTD1_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s8 day2 Retroflex T2 "stats.08MTD2_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s9 day1 Retroflex T2 "stats.09MTD1_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s9 day2 Retroflex T2 "stats.09MTD2_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s10 day1 Retroflex T2 "stats.10MTD1_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s10 day2 Retroflex T2 "stats.10MTD2_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s11 day1 Retroflex T2 "stats.11MTD1_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s11 day2 Retroflex T2 "stats.11MTD2_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s12 day1 Retroflex T2 "stats.12MTD1_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s12 day2 Retroflex T2 "stats.12MTD2_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s13 day1 Retroflex T2 "stats.13MTD1_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s13 day2 Retroflex T2 "stats.13MTD2_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s14 day1 Retroflex T2 "stats.14MTD1_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s14 day2 Retroflex T2 "stats.14MTD2_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s15 day1 Retroflex T2 "stats.15MTD1_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s15 day2 Retroflex T2 "stats.15MTD2_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s16 day1 Retroflex T2 "stats.16MTD1_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s16 day2 Retroflex T2 "stats.16MTD2_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s17 day1 Retroflex T2 "stats.17MTD1_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
s17 day2 Retroflex T2 "stats.17MTD2_REML+tlrc.HEAD[T2_Retroflex#0_Coef]"
